filePath|title|words|est_duration
suttas/AN/AN1_21.txt|A Single Thing Ekadhamma Suttas|345|2
suttas/AN/AN1_45.txt|A Pool Of Water Udakarahada Suttas|217|1
suttas/AN/AN1_48.txt|Soft Mudu Sutta|54|1
suttas/AN/AN1_49.txt|Quick To Reverse Itself Lahu-Parivaṭṭa Sutta|41|1
suttas/AN/AN1_50.txt|Luminous Pabhassara Suttas|120|1
suttas/AN/AN1_77.txt|Increase In Discernment Paññāvuḍḍhi Sutta|172|1
suttas/AN/AN1_140.txt|For The Benefit Of Many People Bahujanahitāya Sutta|111|1
suttas/AN/AN1_329.txt|Foul-Smelling Duggandha Sutta|35|1
suttas/AN/AN1_347.txt|The Taste Of The Goal Attharasa Sutta|123|1
suttas/AN/AN2_1.txt|Penalties Vajja Sutta|517|3
suttas/AN/AN2_2.txt|Exertions Padhāna Sutta|118|1
suttas/AN/AN2_5.txt|Relentlessly Appaṭivāṇa Sutta|245|2
suttas/AN/AN2_9.txt|Guardians Of The World Lokapāla Sutta|101|1
suttas/AN/AN2_18.txt|Categorically Ekaṁsena Sutta|343|2
suttas/AN/AN2_19.txt|Skillful & Unskillful Kusal'Akusala Sutta|200|1
suttas/AN/AN2_21.txt|Fools & Wise People Bāla-Paṇḍita Sutta|76|1
suttas/AN/AN2_23.txt|What Was Not Said Abhāsita Sutta|64|1
suttas/AN/AN2_24.txt|A Meaning To Be Inferred Neyyattha Sutta|69|1
suttas/AN/AN2_29.txt|A Share In Clear Knowing Vijjā-Bhāgiya Sutta|78|1
suttas/AN/AN2_30.txt|Release Vimutti Sutta|38|1
suttas/AN/AN2_31.txt|Gratitude Kataññu Suttas|315|2
suttas/AN/AN2_35.txt|Like-Minded Samacitta Sutta|869|6
suttas/AN/AN2_36.txt|To Ārāmadaṇḍa Ārāmadaṇḍa Sutta|480|3
suttas/AN/AN2_37.txt|To Kaṇḍarāyana Kaṇḍarāyana Sutta|447|3
suttas/AN/AN2_46.txt|Bombast Ukkācita Sutta|347|2
suttas/AN/AN2_61.txt|Communal Living Sannivāsa Sutta|744|5
suttas/AN/AN2_74.txt|Pleasures Sukha Sutta|46|1
suttas/AN/AN2_99.txt|Fools Bāla Sutta|40|1
suttas/AN/AN2_118.txt|Hard To Find Dullabhā Sutta|56|1
suttas/AN/AN2_120.txt|Rarely Having Enough Duttappaya Sutta|38|1
suttas/AN/AN2_123.txt|Voice Ghosa Suttas|72|1
suttas/AN/AN2_134.txt|Without Investigating Ananuvicca Sutta|183|1
suttas/AN/AN3_1.txt|Danger Bhaya Sutta|271|2
suttas/AN/AN3_2.txt|Characterized (By Action) Lakkhaṇa Sutta|166|1
suttas/AN/AN3_5.txt|Inappropriately Ayoniso Sutta|119|1
suttas/AN/AN3_10.txt|Impurities Mala Sutta|184|1
suttas/AN/AN3_12.txt|To Be Remembered Saraṇīya Sutta|306|2
suttas/AN/AN3_15.txt|The Chariot Maker Pacetana Sutta|812|5
suttas/AN/AN3_20.txt|The Shopkeeper Pāpaṇika Sutta|492|3
suttas/AN/AN3_22.txt|Sick People Gilāna Sutta|519|3
suttas/AN/AN3_24.txt|Great Benefactors Bahukāra Sutta|209|1
suttas/AN/AN3_30.txt|Upside Down Avakujja Sutta|956|6
suttas/AN/AN3_32.txt|To Venerable Ānanda Ānanda Sutta|306|2
suttas/AN/AN3_33.txt|To Venerable Sāriputta Sāriputta Sutta|327|2
suttas/AN/AN3_34.txt|Causes Nidāna Sutta|658|4
suttas/AN/AN3_35.txt|To Hatthaka Hatthaka Sutta|614|4
suttas/AN/AN3_39.txt|Refinement Sukhamāla Sutta|781|5
suttas/AN/AN3_40.txt|Governing Principles Ādhipateyya Sutta|1031|7
suttas/AN/AN3_42.txt|Instances Ṭhāna Sutta|106|1
suttas/AN/AN3_47.txt|Fabricated Saṅkhata Sutta|154|1
suttas/AN/AN3_49.txt|A Mountain Pabbata Sutta|238|2
suttas/AN/AN3_50.txt|Ardency Ātappa Sutta|131|1
suttas/AN/AN3_52.txt|Two People (1) Dvejana Sutta|264|2
suttas/AN/AN3_53.txt|Two People (2) Dvejana Sutta|281|2
suttas/AN/AN3_58.txt|To Vaccha (On Giving) Vaccha Sutta|665|4
suttas/AN/AN3_61.txt|To Saṅgārava Saṅgārava Sutta|1916|13
suttas/AN/AN3_62.txt|Sectarians Tittha Sutta|1835|12
suttas/AN/AN3_63.txt|Dangers Bhaya Sutta|744|5
suttas/AN/AN3_64.txt|At Venāga Venāga Sutta|1589|11
suttas/AN/AN3_66.txt|To The Kālāmas Kālāma Sutta|2058|14
suttas/AN/AN3_68.txt|Topics For Discussion Kathāvatthu Sutta|776|5
suttas/AN/AN3_69.txt|Sectarians Titthiya Sutta|540|4
suttas/AN/AN3_70.txt|Roots Mūla Sutta|1238|8
suttas/AN/AN3_71.txt|The Roots Of The Uposatha Mūluposatha Sutta|3276|22
suttas/AN/AN3_72.txt|To Channa The Wanderer Channa Sutta|898|6
suttas/AN/AN3_73.txt|To The Fatalists' Student Ājīvaka Sutta|621|4
suttas/AN/AN3_74.txt|To The Sakyan Sakka Sutta|682|5
suttas/AN/AN3_77.txt|Becoming (1) Bhava Sutta|232|2
suttas/AN/AN3_78.txt|Becoming (2) Bhava Sutta|238|2
suttas/AN/AN3_79.txt|Habit & Practice Sīlabbata Sutta|247|2
suttas/AN/AN3_83.txt|The Donkey Gadrabha Sutta|219|1
suttas/AN/AN3_85.txt|The Vajjian Monk Vajjiputta Sutta|247|2
suttas/AN/AN3_87.txt|One In Training Sekhin Sutta (1)|582|4
suttas/AN/AN3_88.txt|One In Training Sekhin Sutta (2)|629|4
suttas/AN/AN3_90.txt|Trainings (1) Sikkha Sutta|297|2
suttas/AN/AN3_91.txt|Trainings (2) Sikkha Sutta|413|3
suttas/AN/AN3_93.txt|Urgent Accāyika Sutta|273|2
suttas/AN/AN3_95.txt|Autumn Sarada Sutta|129|1
suttas/AN/AN3_96.txt|Assemblies Parisā Sutta|457|3
suttas/AN/AN3_97.txt|The Thoroughbred Ājāniya Sutta|365|2
suttas/AN/AN3_98.txt|The Thoroughbred (2) Ājāniya Sutta|335|2
suttas/AN/AN3_99.txt|The Thoroughbred (3) Ājāniya Sutta|332|2
suttas/AN/AN3_100.txt|Bark-Fiber Cloth Potthaka Sutta|890|6
suttas/AN/AN3_101.txt|The Salt Crystal Loṇaphala Sutta|1485|10
suttas/AN/AN3_102.txt|The Dirt-Washer Paṁsudhovaka Sutta|1210|8
suttas/AN/AN3_103.txt|Themes Nimitta Sutta|1240|8
suttas/AN/AN3_104.txt|Before Pubbe Sutta|252|2
suttas/AN/AN3_105.txt|Allure (1) Assāda Sutta|262|2
suttas/AN/AN3_106.txt|Allure (2) Assāda Sutta|238|2
suttas/AN/AN3_109.txt|No Satiation Atitta Sutta|59|1
suttas/AN/AN3_110.txt|The Peak Of The Roof Kuta Sutta|414|3
suttas/AN/AN3_112.txt|Causes (1) Nidāna Sutta|330|2
suttas/AN/AN3_113.txt|Causes (2) Nidāna Sutta|776|5
suttas/AN/AN3_115.txt|Rare Dullabha Sutta|73|1
suttas/AN/AN3_116.txt|Immeasurable Appameyya Sutta|181|1
suttas/AN/AN3_117.txt|Imperturbable Aneñjaka Sutta|589|4
suttas/AN/AN3_121.txt|Purities (1) Soceyya Sutta|130|1
suttas/AN/AN3_122.txt|Purities (2) Soceyya Sutta|295|2
suttas/AN/AN3_123.txt|Sagacity Moneyya Sutta|162|1
suttas/AN/AN3_124.txt|At Kusinārā Kusinārā Sutta|470|3
suttas/AN/AN3_126.txt|At Gotamaka Shrine Gotamaka-Cetiya Sutta|194|1
