filePath|title|words|est_duration
text/DN/DN01.txt|The Brahmā Net Brahmajāla Sutta|14982|100
text/DN/DN02.txt|The Fruits Of The Contemplative Life Sāmaññaphala Sutta|11185|75
text/DN/DN09.txt|About Poṭṭhapāda Poṭṭhapāda Sutta|6002|40
text/DN/DN11.txt|To Kevaṭṭa Kevaṭṭa Sutta|4243|28
text/DN/DN12.txt|To Lohicca Lohicca Sutta|4529|30
text/DN/DN15.txt|The Great Causes Discourse Mahā Nidāna Sutta|4570|30
text/DN/DN16.txt|The Great Total Unbinding Discourse Mahā Parinibbāna Sutta|25182|168
text/DN/DN20.txt|The Great Meeting Mahā Samaya Sutta|1742|12
text/DN/DN21.txt|Sakka's Questions (Excerpt) Sakka-Pañha Sutta|2903|19
text/DN/DN22.txt|The Great Establishing Of Mindfulness Discourse Mahā Satipaṭṭhāna Sutta|5499|37
text/DN/DN26.txt|The Wheel-Turning Emperor  (Excerpt) Cakkavatti Sutta|751|5
text/DN/DN29.txt|The Inspiring Discourse Pāsādika Sutta|7148|48
text/DN/DN33.txt|The Discourse For Reciting Together Saṅgīti Sutta|19657|131
text/DN/DN34.txt|Progressing By Tens Dasuttara Sutta|14198|95
