filePath|title|words|est_duration
suttas/KN/Ud/ud1_1.txt|Awakening (1) (Bodhi Sutta)|265|2
suttas/KN/Ud/ud1_2.txt|Awakening (2) (Bodhi Sutta)|283|2
suttas/KN/Ud/ud1_3.txt|Awakening (3) (Bodhi Sutta)|424|3
suttas/KN/Ud/ud1_4.txt|Overbearing (Huhuṅka Sutta)|190|1
suttas/KN/Ud/ud1_5.txt|Brahmans (Brāhmaṇa Sutta)|160|1
suttas/KN/Ud/ud1_6.txt|Mahā Kassapa (Kassapa Sutta)|206|1
suttas/KN/Ud/ud1_7.txt|Aja (Aja Sutta)|138|1
suttas/KN/Ud/ud1_8.txt|Saṅgāmaji (Saṅgāmaji Sutta)|278|2
suttas/KN/Ud/ud1_9.txt|Ascetics (Jaṭila Sutta)|161|1
suttas/KN/Ud/ud1_10.txt|Bāhiya (Bāhiya Sutta)|1003|7
suttas/KN/Ud/ud2_1.txt|Muccalinda (Muccalinda Sutta)|270|2
suttas/KN/Ud/ud2_2.txt|Kings (Rājā Sutta)|307|2
suttas/KN/Ud/ud2_3.txt|The Stick (Daṇḍa Sutta)|149|1
suttas/KN/Ud/ud2_4.txt|Veneration (Sakkāra Sutta)|349|2
suttas/KN/Ud/ud2_5.txt|The Lay Follower (Upāsaka Sutta)|163|1
suttas/KN/Ud/ud2_6.txt|The Pregnant Woman (Gabbhinin Sutta)|341|2
suttas/KN/Ud/ud2_7.txt|The Only Son (Ekaputta Sutta)|206|1
suttas/KN/Ud/ud2_8.txt|Suppavāsā (Suppavāsā Sutta)|1218|8
suttas/KN/Ud/ud2_9.txt|Visākhā (Visākhā Sutta)|158|1
suttas/KN/Ud/ud2_10.txt|Bhaddiya Kāḷigodhā (Kāḷigodhā Sutta)|575|4
suttas/KN/Ud/ud3_1.txt|Kamma (Kamma Sutta)|138|1
suttas/KN/Ud/ud3_2.txt|Nanda (Nanda Sutta)|1103|7
suttas/KN/Ud/ud3_3.txt|Yasoja (Yasoja Sutta)|1196|8
suttas/KN/Ud/ud3_4.txt|Sāriputta (Sāriputta Sutta)|109|1
suttas/KN/Ud/ud3_5.txt|Mahā Moggallāna (Kolita Sutta)|118|1
suttas/KN/Ud/ud3_6.txt|Pilinda (Pilinda Sutta)|317|2
suttas/KN/Ud/ud3_7.txt|Mahā Kassapa (Kassapa Sutta)|447|3
suttas/KN/Ud/ud3_8.txt|Alms (Piṇḍa Sutta)|347|2
suttas/KN/Ud/ud3_9.txt|Crafts (Sippa Sutta)|297|2
suttas/KN/Ud/ud3_10.txt|Surveying The World (Loka Sutta)|352|2
suttas/KN/Ud/ud4_1.txt|Meghiya (Meghiya Sutta)|1458|10
suttas/KN/Ud/ud4_2.txt|High-Strung (Uddhata Sutta)|151|1
suttas/KN/Ud/ud4_3.txt|The Cowherd (Gopāla Sutta)|430|3
suttas/KN/Ud/ud4_4.txt|Moonlit (Juñha Sutta)|536|4
suttas/KN/Ud/ud4_5.txt|The Bull Elephant (Nāga Sutta)|648|4
suttas/KN/Ud/ud4_6.txt|Piṇḍola (Piṇḍola Sutta)|174|1
suttas/KN/Ud/ud4_7.txt|Sāriputta (Sāriputta Sutta)|119|1
suttas/KN/Ud/ud4_8.txt|Sundarī (Sundarī Sutta)|952|6
suttas/KN/Ud/ud4_9.txt|Upasena Vaṅgantaputta (Upasena Vaṅgantaputta Sutta )|220|1
suttas/KN/Ud/ud4_10.txt|Sāriputta (Sāriputta Sutta)|111|1
suttas/KN/Ud/ud5_1.txt|The King (Rājan Sutta)|253|2
suttas/KN/Ud/ud5_2.txt|Short-Lived (Appāyuka Sutta)|172|1
suttas/KN/Ud/ud5_3.txt|The Leper (Kuṭṭhi Sutta)|970|6
suttas/KN/Ud/ud5_4.txt|Boys (Kumāra Sutta)|165|1
suttas/KN/Ud/ud5_5.txt|Uposatha (Uposatha Sutta)|2196|15
suttas/KN/Ud/ud5_6.txt|Soṇa (Soṇa Sutta)|1509|10
suttas/KN/Ud/ud5_7.txt|Revata (Revata Sutta)|132|1
suttas/KN/Ud/ud5_8.txt|Ānanda (Ānanda Sutta)|281|2
suttas/KN/Ud/ud5_9.txt|Jeering (Sadhāyamāna Sutta)|101|1
suttas/KN/Ud/ud5_10.txt|Cūḷa Panthaka (Panthaka Sutta)|127|1
suttas/KN/Ud/ud6_1.txt|Relinquishment Of The Life Force (Āyusama-Osajjana Sutta)|1245|8
suttas/KN/Ud/ud6_2.txt|Seclusion (Paṭisalla Sutta)|862|6
suttas/KN/Ud/ud6_3.txt|It Was (Ahu Sutta)|117|1
suttas/KN/Ud/ud6_4.txt|Sectarians (1) (Tittha Sutta)|1007|7
suttas/KN/Ud/ud6_5.txt|Sectarians (2) (Tittha Sutta)|480|3
suttas/KN/Ud/ud6_6.txt|Sectarians (3) (Tittha Sutta)|535|4
suttas/KN/Ud/ud6_7.txt|Subhūti (Subhūti Sutta)|115|1
suttas/KN/Ud/ud6_8.txt|The Courtesan (Gaṇika Sutta)|320|2
suttas/KN/Ud/ud6_9.txt|Rushing (Upāti Sutta)|146|1
suttas/KN/Ud/ud6_10.txt|They Appear (Uppajjanti Sutta)|349|2
suttas/KN/Ud/ud7_1.txt|Bhaddiya (1) (Bhaddiya Sutta)|157|1
suttas/KN/Ud/ud7_2.txt|Bhaddiya (2) (Bhaddiya Sutta)|143|1
suttas/KN/Ud/ud7_3.txt|Attached To Sensual Pleasures (1) (Kāmesu Satta Sutta)|196|1
suttas/KN/Ud/ud7_4.txt|Attached To Sensual Pleasures (2) (Kāmesu Satta Sutta)|165|1
suttas/KN/Ud/ud7_5.txt|The Dwarf (Lakuṇṭha Sutta)|210|1
suttas/KN/Ud/ud7_6.txt|The Ending Of Craving (Taṇhākhaya Sutta)|132|1
suttas/KN/Ud/ud7_7.txt|The Ending Of Objectification (Papañcakhaya Sutta)|99|1
suttas/KN/Ud/ud7_8.txt|Kaccāna (Kaccāna Sutta)|146|1
suttas/KN/Ud/ud7_9.txt|The Well (Udapāna Sutta)|452|3
suttas/KN/Ud/ud7_10.txt|King Udena (Udena Sutta)|212|1
suttas/KN/Ud/ud8_1.txt|Unbinding (1) (Nibbāna Sutta)|154|1
suttas/KN/Ud/ud8_2.txt|Unbinding (2) (Nibbāna Sutta)|98|1
suttas/KN/Ud/ud8_3.txt|Unbinding (3) (Nibbāna Sutta)|109|1
suttas/KN/Ud/ud8_4.txt|Unbinding (4) (Nibbāna Sutta)|147|1
suttas/KN/Ud/ud8_5.txt|Cunda (Cunda Sutta)|1457|10
suttas/KN/Ud/ud8_6.txt|Pāṭali Village (Pāṭaligāma Sutta)|1780|12
suttas/KN/Ud/ud8_7.txt|A Fork In The Path (Dvidhapatha Sutta)|303|2
suttas/KN/Ud/ud8_8.txt|Visākhā (Visākhā Sutta)|393|3
suttas/KN/Ud/ud8_9.txt|Dabba (1) (Dabba Sutta)|262|2
suttas/KN/Ud/ud8_10.txt|Dabba (2) (Dabba Sutta)|205|1
suttas/KN/Ud/apptwo.txt|Non-Udāna Exclamations|2817|19
