filePath|title|words|est_duration
text/MN/MN1.txt|The Root Sequence Mūlapariyāya Sutta|1760|12
text/MN/MN2.txt|All The Effluents Sabbāsava Sutta|2047|14
text/MN/MN4.txt|Fear & Terror Bhaya-Bherava Sutta|2197|15
text/MN/MN5.txt|Unblemished Anaṅgaṇa Sutta|3141|21
text/MN/MN6.txt|If One Would Wish Ākaṅkheyya Sutta|1731|12
text/MN/MN7.txt|The Simile Of The Cloth Vatthūpama Sutta|1480|10
text/MN/MN9.txt|Right View Sammādiṭṭhi Sutta|5198|35
text/MN/MN10.txt|The Establishing Of Mindfulness Discourse Satipaṭṭhāna Sutta|5498|37
text/MN/MN11.txt|The Shorter Lion's Roar Discourse Cūḷasīhanāda Sutta|1953|13
text/MN/MN12.txt|The Great Lion's Roar Discourse Mahāsīhanāda Sutta|7123|47
text/MN/MN13.txt|The Great Mass Of Stress Mahā Dukkhakkhandha Sutta|2517|17
text/MN/MN14.txt|The Lesser Mass Of Stress Cūḷa Dukkhakkhandha Sutta|2280|15
text/MN/MN17.txt|Forest Hinterlands Vanapattha Sutta|1774|12
text/MN/MN18.txt|The Ball Of Honey Madhupiṇḍika Sutta|2073|14
text/MN/MN19.txt|Two Sorts Of Thinking Dvedhāvitakka Sutta|2426|16
text/MN/MN20.txt|The Relaxation Of Thoughts Vitakkasaṇṭhāna Sutta|1259|8
text/MN/MN21.txt|The Simile Of The Saw Kakacūpama Sutta|3284|22
text/MN/MN22.txt|The Water-Snake Simile Alagaddūpama Sutta|4934|33
text/MN/MN24.txt|Relay Chariots Ratha-Vinīta Sutta|2393|16
text/MN/MN25.txt|Poison-Grass Nivāpa Sutta|3265|22
text/MN/MN26.txt|The Noble Search Ariyapariyesana Sutta|5204|35
text/MN/MN27.txt|The Shorter Elephant Footprint Simile Cūḷa Hatthipadopama Sutta|3582|24
text/MN/MN28.txt|The Great Elephant Footprint Simile Mahā Hatthipadopama Sutta|3716|25
text/MN/MN29.txt|The Longer Heartwood Simile Discourse Mahā Sāropama Sutta|2893|19
text/MN/MN30.txt|The Shorter Heartwood Simile Discourse Cūḷa Sāropama Sutta|2887|19
text/MN/MN31.txt|The Shorter Gosiṅga Sāla-Tree Discourse Cūḷagosiṅgasāla Sutta|2412|16
text/MN/MN33.txt|The Greater Cowherd Discourse Mahā Gopālaka Sutta|1988|13
text/MN/MN35.txt|The Shorter Discourse To Saccaka Cūḷa Saccaka Sutta|3486|23
text/MN/MN36.txt|The Longer Discourse To Saccaka Mahā Saccaka Sutta|5658|38
text/MN/MN37.txt|The Shorter Craving-Destruction Discourse Cūḷa Taṇhāsaṅkhaya Sutta|1754|12
text/MN/MN38.txt|The Greater Craving-Destruction Discourse Mahā Taṇhāsaṅkhaya Sutta|5243|35
text/MN/MN39.txt|The Greater Discourse At Assapura Mahā Assapura Sutta|4273|28
text/MN/MN40.txt|The Shorter Discourse At Assapura Cūḷa-Assapura Sutta|1635|11
text/MN/MN41.txt|(Brahmans) Of Sāla Sāleyyaka Sutta|2624|17
text/MN/MN43.txt|The Greater Set Of Questions & Answers Mahā Vedalla Sutta|2662|18
text/MN/MN44.txt|The Shorter Set Of Questions & Answers Cūḷa Vedalla Sutta|2102|14
text/MN/MN45.txt|The Shorter Discourse On Taking On Practices Cūḷa Dhammasamādāna Sutta|1740|12
text/MN/MN48.txt|In Kosambī Kosambiyā Sutta|2226|15
text/MN/MN49.txt|The Brahmā Invitation Brahma-Nimantanika Sutta|2459|16
text/MN/MN51.txt|To Kandaraka Kandaraka Sutta|3961|26
text/MN/MN52.txt|To The Man From Aṭṭhakanagara Aṭṭhakanāgara Sutta|987|7
text/MN/MN53.txt|The Practice For One In Training Sekha-Paṭipadā Sutta|2537|17
text/MN/MN54.txt|To Potaliya (Excerpt) Potaliya Sutta|1657|11
text/MN/MN55.txt|To Jīvaka Jīvaka Sutta|1282|9
text/MN/MN56.txt|The Teaching To Upāli Upālivāda Sutta|5591|37
text/MN/MN57.txt|An Exhortation To A Dog-Practice Ascetic Kukkurovāda Sutta|1794|12
text/MN/MN58.txt|To Prince Abhaya Abhaya Rāja-Kumāra Sutta|1327|9
text/MN/MN59.txt|Many Things To Be Felt Bahuvedanīya Sutta|1604|11
text/MN/MN60.txt|A Safe Bet Apaṇṇaka Sutta|7500|50
text/MN/MN61.txt|The Exhortation To Rāhula At Mango Stone Ambalaṭṭhikā Rāhulovāda Sutta|1714|11
text/MN/MN62.txt|The Greater Exhortation To Rāhula Mahā Rāhulovāda Sutta|2195|15
text/MN/MN63.txt|The Shorter Exhortation To Māluṅkya Cūḷa Māluṅkyovāda Sutta|1934|13
text/MN/MN64.txt|The Longer Exhortation To Māluṅkya Mahā Māluṅkyovāda Sutta|1673|11
text/MN/MN66.txt|The Quail Simile Laḍukikopama Sutta|3565|24
text/MN/MN67.txt|Near Cātumā Cātuma Sutta|2383|16
text/MN/MN69.txt|About Golissāni Golissāni Sutta|1780|12
text/MN/MN70.txt|At Kīṭāgiri Kīṭāgiri Sutta|2563|17
text/MN/MN72.txt|To Vacchagotta On Fire Aggi-Vacchagotta Sutta|1301|9
text/MN/MN74.txt|To Longnails Dīghanakha Sutta|1569|10
text/MN/MN75.txt|To Māgaṇḍiya Māgaṇḍiya Sutta|4073|27
text/MN/MN77.txt|The Greater Discourse To Sakuludāyin Mahāsakuludāyi Sutta|6954|46
