filePath|title|words|est_duration
suttas/SN/SN1_1.txt|Crossing Over The Flood Ogha-Taraṇa Sutta|202|1
suttas/SN/SN1_2.txt|Freedom Nimokkha Sutta|117|1
suttas/SN/SN1_7.txt|Unpenetrated Appaṭividitā Sutta|73|1
suttas/SN/SN1_8.txt|Thoroughly Confused Susammuṭṭha Sutta|76|1
suttas/SN/SN1_9.txt|Fond Of Conceit Manakāma Sutta|72|1
suttas/SN/SN1_10.txt|The Wilderness Arañña Sutta|87|1
suttas/SN/SN1_17.txt|Hard To Do Dukkara Sutta|89|1
suttas/SN/SN1_18.txt|Shame Hiri Sutta|54|1
suttas/SN/SN1_20.txt|About Samiddhi Samiddhi Sutta|796|5
suttas/SN/SN1_21.txt|A Sword Satti Sutta|77|1
suttas/SN/SN1_25.txt|An Arahant Arahanta Sutta|145|1
suttas/SN/SN1_36.txt|Conviction Saddhā Sutta|171|1
suttas/SN/SN1_38.txt|The Stone Sliver Sakalika Sutta|537|4
suttas/SN/SN1_41.txt|On Fire Āditta Sutta|186|1
suttas/SN/SN1_42.txt|A Giver Of What Kindada Sutta|123|1
suttas/SN/SN1_51.txt|Old Age Jarā Sutta|63|1
suttas/SN/SN1_55.txt|Engendered Jana Sutta|53|1
suttas/SN/SN1_56.txt|Engendered (2) Jana Sutta|54|1
suttas/SN/SN1_57.txt|Engendered (3) Jana Sutta|52|1
suttas/SN/SN1_59.txt|Companion Dutiya Sutta|54|1
suttas/SN/SN1_62.txt|The Mind Citta Sutta|58|1
suttas/SN/SN1_63.txt|Craving Taṇhā Sutta|54|1
suttas/SN/SN1_64.txt|Fettered Saññojana Sutta|47|1
suttas/SN/SN1_65.txt|Bondage Bandhana Sutta|49|1
suttas/SN/SN1_69.txt|Desire Icchā Sutta|57|1
suttas/SN/SN1_71.txt|Having Killed Chetvā Sutta|87|1
suttas/SN/SN1_73.txt|Wealth Vitta Sutta|61|1
suttas/SN/SN2_2.txt|Kassapa The Deva's Son Kassapa Sutta|63|1
suttas/SN/SN2_5.txt|Dāmali The Deva's Son Dāmali Sutta|164|1
suttas/SN/SN2_7.txt|Pañcālacaṇḍa The Deva's Son Pañcālacaṇḍa Sutta|87|1
suttas/SN/SN2_8.txt|Tāyana The Deva's Son Tāyana Sutta|422|3
suttas/SN/SN2_17.txt|Subrahma The Deva's Son Subrahma Sutta|93|1
suttas/SN/SN2_19.txt|Uttara The Deva's Son Uttara Sutta|94|1
suttas/SN/SN2_22.txt|Khema The Deva's Son Khema Sutta|159|1
suttas/SN/SN2_23.txt|Serī The Deva's Son Serī Sutta|767|5
suttas/SN/SN2_25.txt|Jantu The Deva's Son Jantu Sutta|160|1
suttas/SN/SN2_26.txt|Rohitassa The Deva's Son Rohitassa Sutta|489|3
suttas/SN/SN3_1.txt|Young Dahara Sutta|636|4
suttas/SN/SN3_2.txt|A Man Purisa Sutta|176|1
suttas/SN/SN3_3.txt|The King Rāja Sutta|264|2
suttas/SN/SN3_4.txt|Dear Piya Sutta|441|3
suttas/SN/SN3_5.txt|Self-Protected Atta-Rakkhita Sutta|375|3
suttas/SN/SN3_6.txt|Few Appaka Sutta|202|1
suttas/SN/SN3_7.txt|In Judgment Atthakaraṇa Sutta|208|1
suttas/SN/SN3_8.txt|Mallikā Mallikā Sutta|237|2
suttas/SN/SN3_9.txt|Sacrifice Yañña Sutta|304|2
suttas/SN/SN3_10.txt|Bonds Bandhana Sutta|204|1
suttas/SN/SN3_11.txt|Coiled-Hair Ascetics Jaṭila Sutta|850|6
suttas/SN/SN3_13.txt|A Gallon Measure Doṇapāka Sutta|267|2
suttas/SN/SN3_14.txt|A Battle (1) Saṅgāma Sutta|335|2
suttas/SN/SN3_15.txt|A Battle (2) Saṅgāma Sutta|334|2
suttas/SN/SN3_17.txt|Heedfulness Appamāda Sutta|212|1
suttas/SN/SN3_19.txt|Heirless (1) Aputtaka Sutta|672|4
suttas/SN/SN3_20.txt|Heirless (2) Aputtaka Sutta|551|4
suttas/SN/SN3_21.txt|Persons Puggala Sutta|1134|8
suttas/SN/SN3_22.txt|Grandmother Ayyikā Sutta|327|2
suttas/SN/SN3_23.txt|(Qualities Of) The World Loka Sutta|148|1
suttas/SN/SN3_24.txt|Archery Skills Issattha Sutta|681|5
suttas/SN/SN3_25.txt|The Simile Of The Mountains Pabbatopama Sutta|732|5
suttas/SN/SN4_1.txt|Ascetic Actions Tapokamma Sutta|218|1
suttas/SN/SN4_8.txt|Delight Nandana Sutta|125|1
suttas/SN/SN4_13.txt|The Stone Sliver Sakalika Sutta|259|2
suttas/SN/SN4_18.txt|Alms Piṇḍa Sutta|210|1
suttas/SN/SN4_19.txt|The Farmer Kassaka Sutta|390|3
suttas/SN/SN4_20.txt|Rulership Rajja Sutta|300|2
suttas/SN/SN4_21.txt|A Large Number Sambahula Sutta|325|2
suttas/SN/SN4_24.txt|Seven Years Sattavassa Sutta|498|3
suttas/SN/SN4_25.txt|Māra's Daughters Māradhītu Sutta|874|6
suttas/SN/SN5_1.txt|Sister Āḷavikā Āḷavikā Sutta|263|2
suttas/SN/SN5_2.txt|Sister Somā Somā Sutta|262|2
suttas/SN/SN5_3.txt|Sister Gotamī Gotamī Sutta|281|2
suttas/SN/SN5_4.txt|Sister Vijayā Vijayā Sutta|276|2
suttas/SN/SN5_5.txt|Sister Uppalavaṇṇā Uppalavaṇṇā Sutta|300|2
suttas/SN/SN5_6.txt|Sister Cālā Cālā Sutta|242|2
suttas/SN/SN5_7.txt|Sister Upacālā Upacālā Sutta|244|2
suttas/SN/SN5_8.txt|Sister Sīsupacālā Sīsupacālā Sutta|226|2
suttas/SN/SN5_9.txt|Sister Selā Selā Sutta|297|2
suttas/SN/SN5_10.txt|Sister Vajirā Vajirā Sutta|293|2
suttas/SN/SN6_1.txt|The Request Āyācana Sutta|775|5
suttas/SN/SN6_2.txt|Reverence Gārava Sutta|706|5
suttas/SN/SN6_13.txt|At Andhakavinda Andhakavinda Sutta|230|2
suttas/SN/SN6_14.txt|At Aruṇavatī Aruṇavatī Sutta|796|5
suttas/SN/SN6_15.txt|Total Unbinding Parinibbāna Sutta|379|3
suttas/SN/SN7_2.txt|Insult Akkosa Sutta|589|4
suttas/SN/SN7_6.txt|The Tangle Jaṭā Sutta|333|2
suttas/SN/SN7_12.txt|Udaya Udaya Sutta|383|3
suttas/SN/SN7_14.txt|Very Rich Mahāsāla Sutta|561|4
suttas/SN/SN7_16.txt|Contradiction Paccanika Sutta|243|2
suttas/SN/SN7_17.txt|The Builder Navakammika Sutta|272|2
suttas/SN/SN7_18.txt|Firewood-Gathering Kaṭṭhahāraka Sutta|310|2
suttas/SN/SN8_4.txt|Ānanda (Instructions To Vaṅgīsa) Ānanda Sutta|181|1
suttas/SN/SN9_1.txt|Seclusion Viveka Sutta|175|1
suttas/SN/SN9_3.txt|Kassapa Gotta Kassapa Gotta Sutta|146|1
suttas/SN/SN9_4.txt|Many Sambahula Sutta|120|1
suttas/SN/SN9_5.txt|Ānanda Ānanda Sutta|102|1
suttas/SN/SN9_6.txt|Anuruddha Anuruddha Sutta|185|1
suttas/SN/SN9_9.txt|The Vajjian Princeling Vajjīputta Sutta|158|1
